"group","trial","result","used_time_sec","move_inputs","failure_reason"
"A","1","clear","4.5","6","clear"
"A","2","fail","1.5","3","적 충돌"
"A","3","clear","4.4","6","clear"
"A","4","fail","1.5","3","적 충돌"
"A","5","fail","4.4","6","적 충돌"
"A","6","fail","1.6","3","적 충돌"
"A","7","clear","4.5","6","clear"
"A","8","fail","1.5","3","적 충돌"
"A","9","fail","4.4","6","적 충돌"
"A","10","fail","1.5","3","적 충돌"
"B","1","clear","4.5","6","clear"
"B","2","fail","1.4","3","적 충돌"
"B","3","clear","4.4","6","clear"
"B","4","fail","1.5","3","적 충돌"
"B","5","clear","4.6","6","clear"
"B","6","fail","1.5","3","적 충돌"
"B","7","clear","4.5","6","clear"
"B","8","fail","1.4","3","적 충돌"
"B","9","clear","4.5","6","clear"
"B","10","fail","1.5","3","적 충돌"

"setting","A","B"
"enemy_speed_multiplier","1.00","1.18"
"course","Fixed test course","Fixed test course"
"time_limit_sec","15","15"
"player_speed","235","235"
"clear_count","3","5"
"median_used_time_sec","3","2.95"
